TXnid;RXnid;RSS;SNR;BER
2;1;-68.000069;35.999931;0.000038
2;3;-79.077180;24.922820;0.000482
2;1;-64.012556;39.987444;0.000015
3;2;-67.153422;36.846578;0.000031
2;3;-76.083216;27.916784;0.000242
2;3;-70.500838;33.499162;0.000067
2;1;-75.701769;28.298231;0.000222
2;3;-82.263789;21.736211;0.000141
2;1;-73.733249;30.266751;0.000141
2;3;-65.280631;38.719369;0.000020
3;2;-78.582468;25.417532;0.000430
2;3;-76.760474;27.239526;0.000283
2;1;-79.414525;24.585475;0.000521
2;3;-68.729594;35.270406;0.000045
2;1;-61.121911;42.878089;0.000008
2;3;-74.427201;29.572799;0.000165
3;2;-72.458937;31.541063;0.000105
2;3;-67.157864;36.842136;0.000031
2;1;-78.486075;25.513925;0.000421
2;3;-65.307312;38.692688;0.000020
2;1;-73.435102;30.564898;0.000132
2;3;-72.109924;31.890076;0.000097
3;2;-68.825530;35.174470;0.000046
2;3;-77.610798;26.389202;0.000344
2;1;-69.858082;34.141918;0.000058
2;3;-70.648776;33.351224;0.000069
2;1;-71.055850;32.944150;0.000076
2;3;-62.941371;41.058629;0.000012
3;2;-66.502320;37.497680;0.000027
2;3;-74.854038;29.145962;0.000182
2;1;-77.134384;26.865616;0.000308
2;3;-74.701682;29.298318;0.000176
2;1;-75.925916;28.074084;0.000234
3;2;-70.916160;33.083840;0.000074
2;3;-62.586596;41.413404;0.000011
2;3;-74.637899;29.362101;0.000174
2;1;-78.247000;25.753000;0.000398
2;3;-78.178230;25.821770;0.000392
2;1;-70.532519;33.467481;0.000067
2;3;-68.939471;35.060529;0.000047
3;2;-76.118435;27.881565;0.000244
2;3;-69.352490;34.647510;0.000051
2;1;-69.626471;34.373529;0.000055
2;3;-70.639658;33.360342;0.000069
2;1;-71.712589;32.287411;0.000089
2;3;-75.253848;28.746152;0.000200
3;2;-70.544450;33.455550;0.000068
2;3;-78.343585;25.656415;0.000407
2;1;-72.062442;31.937558;0.000096
2;3;-63.828391;40.171609;0.000014
2;1;-80.976381;23.023619;0.000746
3;2;-76.549872;27.450128;0.000270
2;3;-73.358916;30.641084;0.000129
2;3;-81.052323;22.947677;0.000759
2;1;-70.892703;33.107297;0.000073
2;3;-73.596243;30.403757;0.000137
2;1;-77.597450;26.402550;0.000343
2;3;-74.122176;29.877824;0.000154
3;2;-66.959228;37.040772;0.000030
2;3;-75.836213;28.163787;0.000229
2;1;-72.425565;31.574435;0.000104
2;3;-79.086745;24.913255;0.000483
2;1;-86.969356;17.030644;0.000483
3;2;-67.491468;36.508532;0.000034
2;3;-68.323061;35.676939;0.000041
2;3;-76.497312;27.502688;0.000266
2;1;-75.600523;28.399477;0.000217
2;3;-77.147188;26.852812;0.000309
2;1;-77.817990;26.182010;0.000361
2;3;-75.857923;28.142077;0.000230
3;2;-67.833234;36.166766;0.000036
2;3;-62.548672;41.451328;0.000011
2;1;-77.993675;26.006325;0.000376
2;3;-74.241212;29.758788;0.000158
2;1;-77.335724;26.664276;0.000323
2;3;-72.169972;31.830028;0.000098
3;2;-75.782169;28.217831;0.000226
2;3;-74.072306;29.927694;0.000152
2;1;-70.113723;33.886277;0.000061
2;3;-75.476108;28.523892;0.000211
2;1;-71.008733;32.991267;0.000075
2;3;-65.298580;38.701420;0.000020
3;2;-70.544423;33.455577;0.000068
